#,PLAYER_ID,Player,Pos,Team,GP,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,AVG,TTL
11,12123,Davante Adams,WR,NYJ,14,10.9,26,8,-,-,BYE,6,9.4,22.1,9.1,13.2,-,17.6,25.9,42.8,19.8,9.7,20.8,17.2,241.3
12,19201,Jerry Jeudy,WR,CLE,17,11.5,12.3,8.7,13.2,2.6,4.5,2.8,12.9,14.3,BYE,26.2,14.5,40.5,17.4,21.8,4,21.4,12.3,14.2,240.9
12,26122,Ladd McConkey,WR,LAC,16,14.9,4.6,7.4,17.7,BYE,8.3,9.6,29.1,11.4,7.2,18.3,14.3,20.7,-,16.8,14.7,29.4,16.5,15.1,240.9
14,12119,Mike Evans,WR,TB,14,23.1,7.2,3.7,23.4,23.2,5.4,9.5,-,BYE,-,-,11.8,25.8,10.9,36.9,11.9,29.7,17.9,17.2,240.4
15,17253,Courtland Sutton,WR,DEN,17,7.8,3.6,13.8,15,5.2,15.3,0,17.1,23.3,19,14.8,29.7,16.2,BYE,12.2,10,16.5,20.8,14.1,240.3
16,17265,DJ Moore,WR,CHI,17,10,11.3,15.2,11.2,27.5,6,-,5.4,7.3,5.7,13.7,26.9,23.7,10.9,15,14,12.2,22.1,14,238.1
17,19211,Tee Higgins,WR,CIN,12,-,-,6.9,12,29.3,14.7,18.2,-,-,-,29.8,BYE,17.9,4.3,19.8,19.8,40.1,9.3,18.5,222.1
18,15802,Tyreek Hill,WR,MIA,17,26,6.6,7,8.2,12.9,-,2.3,13.2,12,11.7,19.1,9.8,20.3,28.1,5.6,11.9,19.5,4,12.8,218.2
19,18598,Jakobi Meyers,WR,LV,15,9.4,6.9,21.2,9.9,13.2,-,-,17.2,18.5,-,8.8,22.1,15.7,13.7,10.9,6.1,17.1,27.3,14.5,218
20,18218,A.J. Brown,WR,PHI,13,22.9,-,-,-,BYE,23.6,19.9,13.4,5.6,15.9,11.5,22.9,11.6,8.3,25,23.7,12.6,-,16.7,216.9
21,23107,Jordan Addison,WR,MIN,15,6.5,-,-,22.9,6.6,BYE,9.6,4.2,16.1,4.9,15.1,30.2,9.4,39.3,13.3,14.5,18.9,1,14.2,212.5
22,23677,Jameson Williams,WR,DET,15,24.4,14.4,1.2,16,BYE,17.7,0.6,-,-,8.3,22.6,11.8,9.6,13,12.7,26,24.5,9.4,14.1,212.2
23,20130,Nico Collins,WR,HOU,12,17.7,27.5,12.6,33.1,15.8,-,-,-,-,-,9.4,20.2,19.9,BYE,17.7,13,8.9,14.8,17.6,210.6
24,19590,Jauan Jennings,WR,SF,15,11.4,5.7,46.5,11.8,2.3,5.7,-,-,-,16.3,25.1,9,8.6,28,5.1,9.1,13.7,12.2,14,210.5
25,22916,Zay Flowers,WR,BAL,17,11.1,22.1,5.3,2,19,22.4,4,18.5,29.7,7.4,11.9,11.2,10.1,BYE,11.3,15.3,5.1,3.1,12.3,209.5
26,23180,Puka Nacua,WR,LA,11,8.2,-,-,-,-,BYE,-,18.1,2.1,18.8,25.3,20.7,17.3,41.8,17.8,13.6,22.9,-,18.8,206.6
27,19222,DeVonta Smith,WR,PHI,13,15.4,20.6,14.9,-,BYE,15.4,0.8,20.5,18.7,3.4,6.9,-,-,13.7,28,11.1,30,-,15.3,199.4
28,17258,Calvin Ridley,WR,TEN,17,8,24.7,1.9,2.5,BYE,0.9,7.2,22.6,12.3,25.4,9.8,14.3,6.5,12.9,9,16.8,14.1,10.3,11.7,199.2
29,23020,Jayden Reed,WR,GB,17,33.1,6.6,10.9,27.1,13.7,14.8,3,7.5,16.3,BYE,9.8,5.6,19.7,0,11.1,11.1,1.6,5.1,11.6,197
30,23064,Marvin Harrison Jr.,WR,ARI,17,1.4,29,17.4,15.5,5.6,0,5.1,23.1,3.4,16.4,BYE,7.7,17,8.9,5.2,7.9,15.6,17.3,11.6,196.5
31,19810,Darnell Mooney,WR,ATL,16,2.5,17.8,14.6,8.6,31.5,6.8,9.6,18.6,19.8,14.6,4.7,-,5,20.2,0,13.2,5.7,-,12.1,193.2
32,18219,DK Metcalf,WR,SEA,15,5.9,28.9,20.4,15.4,7.5,7.8,19.9,-,BYE,-,14,9.9,10.6,8.9,5.8,14.7,7.2,14.3,12.7,191.2
33,23019,Xavier Worthy,WR,KC,17,20.8,4.2,5,16.3,11.8,BYE,5.4,13.7,-1,2.1,16.8,9.1,10.4,9.6,19.6,20.5,22.9,0,11,187.2
34,11616,Keenan Allen,WR,CHI,15,6.9,-,-,4.9,6.3,21.1,-,5.9,7.6,9.4,8.1,23.6,24.3,6,20.2,29.1,7.5,4.5,12.4,185.4
35,24706,Josh Downs,WR,IND,14,-,-,5.2,22.2,15.9,19.5,1.3,22.2,12,14.2,19.4,5.7,-,BYE,6.2,15.1,5.2,19.4,13.1,183.5
36,22985,Wan'Dale Robinson,WR,NYG,17,11.8,9.8,13.1,18.1,16,10,8.3,8,4,10.1,-,9.7,2.6,7.8,7.8,13.2,18.1,14.3,10.7,182.7
37,23748,Khalil Shakir,WR,BUF,15,13.2,10.6,19.2,10.2,-,3.9,13.5,19.9,11,11.8,15,BYE,7,21.6,15.9,4.2,5.5,-,12.2,182.5
38,16433,Cooper Kupp,WR,LA,12,32,7.7,-,-,-,-,-,16.1,21.4,15,28.6,20,4.7,20.2,0,5.4,3.9,-,14.6,175
39,23123,Quentin Johnston,WR,LAC,15,6.8,22.1,12.4,2.3,BYE,5.2,-,-,22,10.4,12.8,0,3.2,15.8,15.5,4.8,9.8,31.6,11.6,174.7
40,19794,Rashod Bateman,WR,BAL,17,7.3,7,11.8,3.3,15.8,11.1,22.1,3.8,5.5,17.4,5,12.3,0,BYE,23,8.4,2.2,18.6,10.3,174.6
41,19278,Michael Pittman Jr.,WR,IND,16,7.1,5.1,7.6,17.3,14.7,12.5,9.3,2.6,2.4,-,9.6,15.6,9.2,-,9.8,3.9,25.9,13.2,10.4,165.8
42,22963,George Pickens,WR,PIT,14,13.5,4.9,10.7,16.3,5.6,8.3,22.1,11.4,-,20.5,16.9,8.8,16.4,-,-,-,8,1,11.7,164.4
43,23791,Alec Pierce,WR,IND,16,21.5,16.6,5.4,1.9,22.4,0,3.5,2.1,7.1,18.1,10.4,4.9,9.6,BYE,0,-,24.2,13.7,10.1,161.4
44,18244,Deebo Samuel Sr.,WR,SF,15,18.7,18,-,10.2,3,20.7,0,12.6,-,12.6,6.1,3.1,4,5.5,4.9,25.1,9.1,-,10.2,153.6
45,23770,Jalen Tolbert,WR,DAL,17,2.2,14.2,13.2,5.4,21.7,8.3,-,7.4,10.9,4.4,4.1,10.2,6.1,0,8.1,10,12,13.8,8.9,152
46,19790,Jaylen Waddle,WR,MIA,16,16.2,8.5,6.6,7.6,8.6,BYE,2.1,8.5,7.6,8.6,5.7,28.4,11.3,20.9,0,-,0,9,9.4,149.6
47,25304,DeMario Douglas,WR,NE,17,3.2,0,14.8,4.3,11.9,21.2,3.4,3.2,10.5,9,9.9,11.3,6,BYE,10.1,7.9,14.6,6.4,8.7,147.7
48,11606,DeAndre Hopkins,WR,KC,16,1.8,1.9,19.3,5.1,-,9.4,0.8,4.9,28.6,9.6,5.9,14.5,13,13.2,8.6,7.7,2.7,-,9.2,147
49,25411,Rome Odunze,WR,CHI,17,2.1,5.3,23.4,2,9,6,BYE,8.4,15.4,5.3,12.5,8.9,4.5,20.2,5.9,9.7,2.5,3.8,8.5,144.9
50,17530,Ray-Ray McCloud III,WR,ATL,17,9.2,7.5,5.7,11.2,12.6,4.3,2.9,5.6,12.5,6.6,10.6,-,13.3,16.1,2.4,5.7,3.7,10.6,8.3,140.5
51,00-0038977,Tank Dell,WR,HOU,14,8.9,2.3,11.2,-,7.3,18.7,0,13.5,18.6,8.3,9.8,10.2,3.3,BYE,6.1,21.8,-,-,10,140
52,13429,Adam Thielen,WR,CAR,10,7.9,4,13,-,-,-,-,-,-,-,-,8.7,23.9,19.2,10.1,15.3,28,9.4,14,139.5
53,16406,Chris Godwin Jr.,WR,TB,7,22.3,24.7,17.3,12.9,11.6,35.5,13.5,-,-,-,BYE,-,-,-,-,-,-,-,19.7,137.8
54,19747,Nick Westbrook-Ikhine,WR,TEN,17,0,0,0,0,-,7.9,9,11.9,16,6.1,19.7,12.8,21.1,2.9,2.9,9.7,6.7,9,8,135.7
55,23179,Jalen McMillan,WR,TB,13,10.2,3.1,1.6,-,-,0,5.6,9.2,-,-,BYE,2.1,4.5,21.9,18.5,16.7,23,19,10.4,135.4
