Player,GP,PTS,REB,AST,STL,BLK,FG3M,TOV,40-Point Games,50-Point Games,Double Doubles,Triple Doubles,Total Fantasy Points,Fantasy Points Per Game
Javon Small,35,323,111,128,26,9,49,45,0,0,0,0,450.0,12.86
Khris Middleton,54,576,205,158,40,9,58,93,0,0,2,0,687.0,12.72
Tristan da Silva,67,659,251,102,62,23,110,55,0,0,0,0,852.5,12.72
Dominick Barlow,62,500,297,80,56,44,21,52,0,0,2,0,787.5,12.7
Zach Collins,10,97,56,15,2,4,9,10,0,0,1,0,127.0,12.7
Yves Missi,60,330,347,76,20,89,0,49,0,0,4,0,761.0,12.68
Malik Monk,56,709,108,166,32,20,114,81,0,0,0,0,708.5,12.65
Jake LaRavia,73,614,280,131,88,32,71,75,0,0,1,0,919.5,12.6
Cameron Payne,19,157,38,56,24,6,32,11,0,0,1,0,238.5,12.55
Lonzo Ball,35,160,140,136,45,9,40,52,0,0,0,0,432.0,12.34
Oso Ighodaro,73,468,360,159,70,46,0,90,0,0,4,0,899.0,12.32
Sam Hauser,69,616,267,99,37,22,173,32,0,0,0,0,846.5,12.27
Bez Mbeng,6,27,23,22,9,3,2,10,0,0,0,0,73.5,12.25
Kevin Love,37,248,215,67,14,9,53,30,0,0,2,0,450.5,12.18
Tre Johnson,56,692,156,112,31,18,110,86,0,0,0,0,681.0,12.16
Dereck Lively II,7,30,37,13,4,11,0,10,0,0,0,0,85.0,12.14
Aaron Wiggins,57,557,187,98,54,26,87,76,0,0,0,0,691.0,12.12
DeJon Jarreau,6,39,31,23,4,2,2,14,0,0,0,0,72.5,12.08
Caleb Love,45,507,114,122,27,4,93,61,0,0,0,0,537.0,11.93
Isaiah Joe,64,693,170,90,45,11,156,40,0,0,0,0,756.5,11.82
Harrison Barnes,67,686,196,135,45,11,125,57,0,0,0,0,791.5,11.81
Luguentz Dort,60,507,227,74,48,25,111,50,0,0,0,0,706.0,11.77
Gui Santos,61,504,231,138,52,21,65,85,0,0,3,0,717.5,11.76
Isaiah Jackson,53,354,280,49,35,47,0,56,0,0,7,0,621.0,11.72
Micah Potter,38,334,165,55,17,13,51,31,0,0,3,0,444.5,11.7
Jamal Shead,71,463,135,372,63,12,72,95,0,0,1,0,830.5,11.7
Paul Reed,55,390,239,62,47,47,11,48,0,0,2,0,643.5,11.7
Klay Thompson,62,738,135,84,32,18,185,58,0,0,0,0,722.5,11.65
Brook Lopez,65,510,206,80,39,70,95,52,0,0,1,0,755.5,11.62
Bruce Brown,73,562,283,155,73,18,49,81,0,0,1,0,845.5,11.58
Ronald Holland II,68,562,283,85,80,21,38,85,0,0,2,0,787.0,11.57
Rui Hachimura,59,657,189,50,32,18,102,38,0,0,0,0,680.5,11.53
Goga Bitadze,54,305,258,71,32,52,2,29,0,0,1,0,622.5,11.53
Ziaire Williams,52,520,128,53,65,20,82,53,0,0,0,0,599.0,11.52
Kyle Anderson,34,220,115,93,33,18,4,33,0,0,0,0,389.0,11.44
Obi Toppin,15,141,60,31,9,1,17,19,0,0,0,0,171.0,11.4
D'Angelo Russell,26,264,61,104,12,2,33,49,0,0,1,0,293.5,11.29
Nique Clifford,67,519,240,145,63,21,65,90,0,0,0,0,755.0,11.27
Jose Alvarado,62,445,152,211,59,6,91,65,0,0,1,0,697.0,11.24
Dean Wade,57,331,240,86,43,22,68,16,0,0,1,0,640.5,11.24
Jordan Miller,51,498,158,110,37,8,29,54,0,0,1,0,568.5,11.15
Dru Smith,67,388,172,178,98,21,38,55,0,0,0,0,746.0,11.13
Craig Porter Jr.,58,258,193,187,55,32,30,54,0,0,0,0,644.0,11.1
Quinten Post,66,513,267,94,26,34,93,56,0,0,0,0,728.0,11.03
Alex Caruso,50,320,138,100,69,17,47,43,0,0,0,0,550.5,11.01
Jamir Watkins,39,247,140,47,42,21,32,25,0,0,0,0,427.5,10.96
Daeqwon Plowden,23,223,71,26,16,4,37,15,0,0,0,0,252.0,10.96
Daniss Jenkins,62,526,125,212,56,12,58,88,0,0,2,0,679.0,10.95
Terance Mann,59,430,187,183,36,14,51,66,0,0,0,0,644.5,10.92
Isaac Okoro,56,509,152,88,38,24,65,41,0,0,0,0,610.0,10.89
Ryan Dunn,63,371,262,90,54,27,53,49,0,0,1,0,678.0,10.76
Jonas Valančiūnas,58,480,284,68,14,31,6,65,0,0,3,0,623.0,10.74
Kentavious Caldwell-Pope,51,428,125,139,43,8,55,61,0,0,0,0,546.5,10.72
